username,rating,sentiment,date,review,clean_review
Siti Nur Rubiah,5,Positive,2026-04-18 16:54:07,memudahkan segala urusan,memudahkan segala urusan
Ghins Bon,5,Positive,2026-04-18 16:49:52,the best,best
Rj One,5,Positive,2026-04-18 16:42:23,wow,wow
R A N A,5,Positive,2026-04-18 15:49:15,good app Malaysia,good malaysia
Amri Lubis,1,Negative,2026-04-18 15:23:02,"KECEWA BERAT! saya order makanan pakai uang digital. makanan di terima dengan baik dan saldo saya sdh terpotong sesuai total hrg makanan. waktu itu saya order makanan dengan total sekitar 120rb (95rb dan 25rb) dan saldo awal saya 150rb. besokny saya mau order makanan lg dengan total sekitar 50rb an. krn kurang saya top up 100rb. pas mau buat order, tertahan krn d suruh bayar 95rb dr orderan kmrn. sy ajukan pengaduan. blm jg solve, besok ny sy cek saldo sy sdh d potong 95rb tanpa penjelasan ke sy",kecewa berat saya order makanan pakai uang digital makanan terima dengan baik dan saldo saya sdh terpotong sesuai total hrg makanan waktu itu saya order makanan dengan total sekitar dan dan saldo awal saya besokny saya mau order makanan dengan total sekitar krn kurang saya top pa mau buat order tertahan krn suruh bayar orderan kmrn ajukan pengaduan blm solve besok cek saldo sdh potong tanpa penjelasan
Michael Dimaampao,1,Negative,2026-04-18 15:09:21,one time loan lang pala ang grab cash loan na kapag nakabayad ka na hindi ka na makakaulit ipa-loan ulit.,time loan lang pala ang cash loan kapag nakabayad hindi makakaulit ipaloan ulit
Zabih Jani,5,Positive,2026-04-18 14:52:24,i like ❤️,like
neil macintosh,5,Positive,2026-04-18 14:50:59,Great service,great service
Didie Daniel,1,Negative,2026-04-18 14:27:18,I alrady topup..but the money not come...plus my bank already deduct,alrady topupbut money comeplus bank already deduct
David P,5,Positive,2026-04-18 13:48:11,works well in Vietnam,work well vietnam
C S L C,3,Neutral,2026-04-18 13:38:46,Kindly have some standards in your grab drivers n car... Car to b maintain... Most importantly no smoking in cars n pls educate drivers so not put those sweet smell fragrance sometimes it's too pungent for passengers who have sensitive nose and to keep car clean from dust n dirt. Keep it clean for all passengers. For the food priority used vip delivery option but it makes no sense that driver is late n yr timing keep extending so what is priority delivery for?,kindly standard driver car car maintain importantly smoking car pls educate driver put sweet smell fragrance sometimes pungent passenger sensitive nose keep car clean dust dirt keep clean passenger food priority used vip delivery option make sense driver late timing keep extending priority delivery
Arunava Nag,5,Positive,2026-04-18 13:30:33,"Grab is absolutely too convenient app. It offers a variety of services like food delivery, package delivery and a safe and secured taxi ride booking. This incredible app is very fast, reliable and easy to use.",absolutely convenient offer variety service like food delivery package delivery safe secured taxi ride booking incredible fast reliable easy
Stephen Massey,5,Positive,2026-04-18 13:28:07,excellent ride,excellent ride
Thae Thae Nu,5,Positive,2026-04-18 13:25:01,good,good
fussganger,3,Neutral,2026-04-18 12:51:45,"I think it'll be good to define if tolls for highways are included in the fare or not, before you grab the ride",think itll good define toll highway included fare ride
SY Tan,1,Negative,2026-04-18 12:44:57,Cannot pinpoint my current location properly. So much hassle trying to make a call to the driver. Charge me incorrectly yet insist they are right when I have the screenshots to prove.,pinpoint current location properly much hassle trying make call driver charge incorrectly yet insist right screenshots prove
Riza Ahmad Ibrahim,1,Negative,2026-04-18 12:34:45,"Tolong ini mah min mitra GRAB lebih diedukasi lagi. Sebagian mitra motor Plat nomer dipakein selotip item apalagi di jakarta mksdnya biar apa? kalau memang merasa taat aturan jalan, jujur, punya integritas, tidak lawan arus, tidak naik trotoar, ngerokok di jalan, dan tidak ngelunjak. Ngapain harus ditutupin plat nomernya toh. Sebagian SDM gojek kecerdasannya kurang. Tolong lebih tegas lagi. kalau bisa ada pihak dari gojek sebagai mata"" untuk menertibkan peraturan di jalanan. Suwonn..",tolong ini mah min mitra lebih diedukasi lagi sebagian mitra motor plat nomer dipakein selotip item apalagi jakarta mksdnya biar apa kalau memang merasa taat aturan jalan jujur punya integritas tidak lawan arus tidak naik trotoar ngerokok jalan dan tidak ngelunjak ngapain harus ditutupin plat nomernya toh sebagian sdm gojek kecerdasannya kurang tolong lebih tegas lagi kalau bisa ada pihak dari gojek sebagai mata untuk menertibkan peraturan jalanan suwonn
Alyssa Moya,2,Negative,2026-04-18 12:30:26,"This is not just a data. These are developer instructions and feedback. No follow-up to my complaint. No way to reach a real person. Just layers of AI pretending to be “support.” When a company operates like it can’t be challenged, this is how their customer support look likes. Goodbye. I am uninstalling. Anyway, goodluck making your AI sounding like a world class customer service at the same time sounding like a simlish customer service.",data developer instruction feedback followup complaint way reach real person layer pretending support company operates like cant challenged customer support look like goodbye uninstalling anyway goodluck making sounding like world class customer service time sounding like simlish customer service
JOSE MARI PEREZ,5,Positive,2026-04-18 12:28:28,pinaliwanag niya sa smin ang ruta na dadaanan dahil di kami pamilyar sa lugar.,pinaliwanag niya smin ang ruta dadaanan dahil kami pamilyar lugar
mijah shah,2,Negative,2026-04-18 11:56:29,entah la.... dah siap awal sejam pun still datang kerja lambat. tadi je dah kena cancel 2 kali 👍,entah dah siap awal sejam pun still datang kerja lambat tadi dah kena cancel kali
Daniel Bryan,5,Positive,2026-04-18 11:38:46,"GRAB SANGAT BERGUNA & MEMBANTU sangat bagus dan banyak fitur, secara teknis bener2 canggih & praktis, cuma kalah dipromo kadang sama si ijo. tapi layanan purna jual tetap terbaik disini ⭐⭐⭐⭐⭐",sangat berguna membantu sangat bagus dan banyak fitur secara teknis bener canggih praktis cuma kalah dipromo kadang sama ijo tapi layanan purna jual tetap terbaik disini
andrew ephraim elgo,1,Negative,2026-04-18 11:29:54,grab drivers are the worse! 90% of the time they cancel. specially during rush hour. we don't have a way to report??,driver worse time cancel specially rush hour dont way report
Alden rafael,5,Positive,2026-04-18 11:22:36,wow,wow
Saiful Azran,5,Positive,2026-04-18 11:21:10,driver yg bagus pasal sanggup ambil job walaupun rugi sebab luar dari kawasan,driver bagus pasal sanggup ambil job walaupun rugi sebab luar dari kawasan
Ivan James Freires,1,Negative,2026-04-18 11:16:16,useless priority free. still takes way too long to be prepared and delivered from a fastfood literally just 3km away!! i will be switching to food panda from now on also takes too long to get my refund 9n a obviously wrong delivery,useless priority free still take way long prepared delivered fastfood literally away switching food panda take long refund obviously wrong delivery
David Bennett,3,Neutral,2026-04-18 10:50:25,I don't know where to report a bug so I'll do it here. twice I've been waiting on a driver to accept and the app didn't update after I had a driver. I sat at the hospital waiting for a driver to accept while my driver was there waiting for me. and the driver that my app showed me waiting to accept wasn't even the same driver that was there. I closed the app and opened it again which made it refresh and showed my actual driver. the same thing just happened to me again.,dont know report bug ill twice ive waiting driver accept didnt update driver sat hospital waiting driver accept driver waiting driver showed waiting accept wasnt even driver closed opened made refresh showed actual driver thing happened
Stuart Flegel,5,Positive,2026-04-18 10:49:55,"taxi, food service and a lot more. very good app.",taxi food service lot good
Fatmir Shehu,5,Positive,2026-04-18 10:18:01,great.,great
Dipok nag,5,Positive,2026-04-18 10:12:24,Usefull app this one for Malaysia great appreciate,usefull malaysia great appreciate
Wenzel Brinosa,1,Negative,2026-04-18 09:54:53,di nagana,nagana
Md sumon,2,Negative,2026-04-18 08:59:18,",,৷ 😌😇😮‍💨😐😬",
Brian Ng,1,Negative,2026-04-18 08:15:07,"Feedback countless times that the pin drop for my home address is in correct, causing a perpetual problem of drivers being directed to the inner compounds of a condo, causing 5 mins delay. I've given Grab many feedback via the app and years to resolve the issue. But needless to say nothing has been done.",feedback countless time pin drop home address correct causing perpetual problem driver directed inner compound condo causing min delay ive given many feedback via year resolve issue needless say nothing done
Anis,3,Neutral,2026-04-18 07:56:16,"the bank system in here is so suckass bro beforreal, i lost my money tryna do transaction",bank system suckass bro beforreal lost money tryna transaction
Vasanthi Vasanthi,5,Positive,2026-04-18 07:23:23,good service,good service
Rezky Suryawijaya,1,Negative,2026-04-18 06:25:41,"buruk.. tanpa ada sebab apa² akun di suspend, padahal hanya dipakai utk transportasi singkat dr rumah ke stasiun lrt... driver grab nya bnyak yg gak sopan klw ngomong di telepon, sdh sekalian aja delete app, msh bnyak app online lainnya yg bagus.",buruk tanpa ada sebab apa akun suspend padahal hanya dipakai utk transportasi singkat rumah stasiun lrt driver nya bnyak gak sopan klw ngomong telepon sdh sekalian aja delete msh bnyak online lainnya bagus
Randi Suranto,1,Negative,2026-04-18 03:47:51,"Susah membatalkan pesanan, katanya masih cari driver tapi terlalu lama dan tidak ada pilihan batalkan pesanan, seolah-olah kita dipaksa nungguin pesanan yg gak tau kapan datangnya larena masih nyari driver.",susah membatalkan pesanan katanya masih cari driver tapi terlalu lama dan tidak ada pilihan batalkan pesanan seolaholah kita dipaksa nungguin pesanan gak tau kapan datangnya larena masih nyari driver
Dens Roscal,1,Negative,2026-04-18 02:15:56,PUKINANGINA NYO,pukinangina nyo
Ezequiel Gimotea,5,Positive,2026-04-18 02:01:23,very nice,nice
fazri,3,Neutral,2026-04-18 01:12:45,buat pembayaran qris nya kurang convenient karna harus scan qr driver. kenapa gak aplikasi langsung kasih qris dan kita bayar langsung,buat pembayaran qris nya kurang convenient karna harus scan driver kenapa gak aplikasi langsung kasih qris dan kita bayar langsung
Nay Laing,5,Positive,2026-04-18 01:06:29,good,good
Muhammad Ali,5,Positive,2026-04-18 01:03:29,very good,good
Liz,5,Positive,2026-04-18 00:44:10,great driver,great driver
Alfred Raymond,1,Negative,2026-04-18 00:02:28,saat mau pesan mcd di grab food harganya total 20 ribu lalu saya top up saldo ovo tapi setelahnya harga langsung berubah jadi 60 ribu lagi. kecewa banget,saat mau pesan mcd food harganya total ribu lalu saya top saldo ovo tapi setelahnya harga langsung berubah jadi ribu lagi kecewa banget
Igi Julio,1,Negative,2026-04-17 23:42:05,"Stupid app,",stupid
Tomasz G,1,Negative,2026-04-17 23:15:03,"Worst service ever. I book rides often and Grab app will find you a driver e.g. 18 mins away. after waiting for e.g. 15 mins, the driver just cancels and the app tells you ""Driver cancelled"" and ... ef you. App will offer you to find a new ride at the higher cost, with ZERO consideration. This is the worst example of businesses ethics (or lack of thereof) Grab has the worst customer service EVER!",worst service ever book ride often find driver min away waiting min driver cancel tell driver cancelled offer find new ride higher cost zero consideration worst example business ethic lack thereof worst customer service ever
Agie Yambao,5,Positive,2026-04-17 23:12:58,This is very helpful for us commuters to feel comfortable when travelling to another place. Thanks for the safe trip.,helpful commuter feel comfortable travelling another place thanks safe trip
Sausa Jodypati,1,Negative,2026-04-17 22:50:48,"status pengiriman makanan udah selesai tapi makanan tidak diterima, ajukan komplain udah 24 jam tidak ada perkembangan",status pengiriman makanan udah selesai tapi makanan tidak diterima ajukan komplain udah jam tidak ada perkembangan
coughargh,1,Negative,2026-04-17 22:27:07,scam. when the ride fee is at lower side be prepared to get cancelled and rebook with much higher fee,scam ride fee lower side prepared cancelled rebook much higher fee
Lakshmanan Sekar,1,Negative,2026-04-17 22:09:27,WOW NOW - 100% DELIVERY PROMISE... E Gets - 100% DELIVERY PROMISE... GRAB - 0% DELIVERY PROMISE ON ANY PUBLIC HOLIDAYS...HOW THEY CAN DO IT AND YOU CANNOT ??? LEARN BUSINESS FROM THEM...UNTIL THAN GOODBYE GRAB CAMBODIA,wow delivery promise get delivery promise delivery promise public holidayshow learn business themuntil goodbye cambodia
Mohd Shah,5,Positive,2026-04-17 22:06:46,Aps mntb,aps mntb
ohlala,1,Negative,2026-04-17 21:57:22,drivers cancel my ride cus i managed to get the usual fare. whats wrong with grab these days huh i always got an issue when im trying to reload amount on my acc.,driver cancel ride cu managed usual fare whats wrong day huh always got issue trying reload amount acc
Syahirah najwa,5,Positive,2026-04-17 21:49:45,"Super convenient for both rides and food. The drivers are professional, and the app is very user-friendly",super convenient ride food driver professional userfriendly
Juanico Juanico,5,Positive,2026-04-17 21:49:36,very comfortable,comfortable
ikhwan yahya,1,Negative,2026-04-17 20:56:55,got missing item and issue delay for 2 days without any update. then still dont get refund.,got missing item issue delay day without update still dont refund
Jeson Tjowari,1,Negative,2026-04-17 20:48:17,Extremely slow loading. most of the time I need to restart the apps multiple times just to order.,extremely slow loading time need restart apps multiple time order
Devin Rachman,3,Neutral,2026-04-17 20:30:19,"Its sad that sometimes the drivers are packed with multiple deliveries stacked at the same time, even sadder for us who have to wait 1-2 hours for a food delivery under 5 km away with no update because the driver need to deliver to somewhere else first. Geez.",sad sometimes driver packed multiple delivery stacked time even sadder wait hour food delivery away update driver need deliver somewhere else first geez
jenny anne Mejia,5,Positive,2026-04-17 20:01:06,cravings satisfied sarap ng shake👌,craving satisfied sarap shake
Juvelyn Balanquit,5,Positive,2026-04-17 19:38:51,nice,nice
Zainal Ale,5,Positive,2026-04-17 19:37:42,"Excellent Service, Thanks",excellent service thanks
Muhd Ikmal,5,Positive,2026-04-17 19:37:03,Easy to use and affordable price,easy affordable price
Laurensius Arief Rahman,1,Negative,2026-04-17 19:09:50,Here the think more you upgrade your aps the more worst youbget. I just got drive it took 5 minute and get far away it said (youbgot 5 min away) but i got 7 mint driver to get my location. So waited ajd suddenly i got canceled i dont know why and took another frickin 5 minute too get new driver 🤦🤦,think upgrade aps worst youbget got drive took minute far away said youbgot min away got mint driver location waited ajd suddenly got canceled dont know took another frickin minute new driver
James Española,1,Negative,2026-04-17 18:50:05,please fix it always glitches when i use it the map doesnt work and suddenly it stops working,fix always glitch map doesnt work suddenly stop working
Phyu phway Phoe Thar,5,Positive,2026-04-17 18:42:41,Good,good
Ryan Choong,1,Negative,2026-04-17 18:20:38,Grab is unbelievable! Waited for 2 hours and 30 min for their food delivery.,unbelievable waited hour min food delivery
hanny apek,5,Positive,2026-04-17 18:17:53,sangat2 baik,sangat baik
Nemo Nemo,1,Negative,2026-04-17 18:17:44,"they remove promo codes when u are a subscription active. and they mostly or almost only have promos for specific banks. used to be normal promos for ovo or even normal debit card payments. I checked a friends app same order and he dont have a subscription, and he has more promos. I use this app many times every day. this is not good and probably gonna have to switch to gojek again. having a subscription now is not worth it as they hide promos.",remove promo code subscription active mostly almost promos specific bank used normal promos ovo even normal debit card payment checked friend order dont subscription promos many time every day good probably gon switch gojek subscription worth hide promos
Jump Jump,2,Negative,2026-04-17 18:06:22,เวลารอแอพหารถนาน​ พอกดแคนเซิล​+ปิดแอพไป มักจะเด้งว่ามีไรเดอร์รับงาน และไรเดอร์กำลังมาตลอด​ คือแคนเซิลไปแล้วเพราะได้วิธีเดินทางใหม่แล้วไง​ กดเหตุผล​ คอนเฟิร์ม​แคนเซิลไปแล้ว​ ทำไมยังเด้งชื่อไรเดอร์มาให้อีก​ (เป็นมากกว่า3ครั้ง) ในบางครั้งพอเราปิดแอพแล้ว=เก็บโทรศัพท์​ใส่กระเป๋า​ ไรเดอร์ดันมาถึงแล้ว​ และติดต่อเราไม่ได้​ เราโดนหักตังอีก​ ทั้งที่แคนเซิล​แล้ว​ เคยรีพอร์ทไปแล้วก้อไม่ปรับปรุง,
Lee Zhong de,5,Positive,2026-04-17 17:41:54,Best order apps in the Social Media,best order apps social medium
Vivie Ampis,5,Positive,2026-04-17 17:16:29,goooooodd.......,goooooodd
Azni Salleh,3,Neutral,2026-04-17 17:13:55,Sekarang tak da extra 5x points ya bila naik grab macam sebelum ni.... Agak rugi juga sebb points sy agak banyak.macam mn nak claim balik points Xtra yg sy tak dapat.,sekarang tak extra point bila naik macam sebelum agak rugi juga sebb point agak banyakmacam nak claim balik point xtra tak dapat
emma H.,5,Positive,2026-04-17 17:09:00,Convenient for transport and food delivery. Fast and reliable service,convenient transport food delivery fast reliable service
Bhisma Cramer,5,Positive,2026-04-17 17:08:14,good,good
ARCENAL ART JOSEPH P.,5,Positive,2026-04-17 16:47:06,The app is convenient to use,convenient
ᴋʀɪsᴜ ᴄʜᴀɴ,1,Negative,2026-04-17 16:29:22,How many times do I have to say that the SIM card from my old account is already lost?! You don’t seem to understand at all. This is getting really frustrating. Do you really want my money to just stay stuck in GrabPay like that?! It’s the same thing over and over again—you’re not being helpful anymore. and help center its annoying,many time say sim card old account already lost dont seem understand getting really frustrating really want money stay stuck grabpay like thing againyoure helpful anymore help center annoying
voltiaaa,1,Negative,2026-04-17 16:21:48,lme babi tnggu siall,lme babi tnggu siall
Khin aye Thet,4,Positive,2026-04-17 16:04:52,very nice,nice
Ye Wint Khaing,5,Positive,2026-04-17 15:28:14,Good Application 😃 👍,good application
Nureen Najjah,5,Positive,2026-04-17 15:22:04,"Extremely convenient. Having transport, food delivery, and a digital wallet in one app makes life so much easier. The GrabRewards system is a nice bonus too!",extremely convenient transport food delivery digital wallet make life much easier grabrewards system nice bonus
Adelinajaffelin Andrian,5,Positive,2026-04-17 15:21:00,Sangat memuaskan,sangat memuaskan
Roman McP,1,Negative,2026-04-17 15:18:49,piece of rubbish the maps are always wrong. hard to pin location for pickup. FOOD orders are a disaster. waiting one hour for food 5 minutes away. food always arrives cold. drivers are uncontactable. grab support un helpful. DISASTER DO NOT USE GRAB FOOD DELIVERY.,piece rubbish map always wrong hard pin location pickup food order disaster waiting hour food minute away food always arrives cold driver uncontactable support helpful disaster food delivery
Muhamad Khairulhazim,2,Negative,2026-04-17 15:15:59,"as of 17/04/2026 I have updated my review to 2 stars. I could not update my profile information and topping up money was impossible due to my foreign status. I reached out to help center which was super confusing due to the ai bot bt then when I got the agent, she was nice but not very helpful. conclusion I still cant top up and edit my account.",updated review star update profile information topping money impossible due foreign status reached help center super confusing due bot got agent nice helpful conclusion still cant top edit account
Hope Lagarto Alas,5,Positive,2026-04-17 14:58:01,Love the simple design.,love simple design
John Josel Tajonera,1,Negative,2026-04-17 14:54:58,Inconvenient. Drivers pick you up. but they are 20-30 mins awaym That doesn't make sense.,inconvenient driver pick min awaym doesnt make sense
fazrul nazim,5,Positive,2026-04-17 14:50:04,good one for transport n oder food,good transport oder food
Dato Mahathir Mohd Mohd,1,Negative,2026-04-17 14:39:19,"Day by day it's getting worse on the services rider is rude, Grab response if slow. You're taking too much commission from us but not being responsible for your poor services. Orders are late and cancellation last minute, grab services small cars category but charges as premium cars!!!! You're robbing the people GRAB!!!!!!!!!!!!!!!",day day getting worse service rider rude response slow youre taking much commission responsible poor service order late cancellation last minute service small car category charge premium car youre robbing people
chaz james,1,Negative,2026-04-17 14:36:58,"Ga bs pesan grab food meni baru bikin ribet kebanhakan option, ga bs di proses",pesan food meni baru bikin ribet kebanhakan option prose
Tommy Wijaya,1,Negative,2026-04-17 14:35:14,"the grab food feature has become increasingly useless as I have tried twice to get my order for lunch today since 10AM, cancelled both times by the application due to no drivers accepting the order. if you were gonna cancel my order anyways, why not let me cancel my own order and not make me wait hours in anxiety. rather walk to get my own food",food feature become increasingly useless tried twice order lunch today since cancelled time application due driver accepting order gon cancel order anyways let cancel order make wait hour anxiety rather walk food
Fei Eduarte,5,Positive,2026-04-17 14:22:08,good,good
Raja Raveendrababu,1,Negative,2026-04-17 14:17:23,worst food app in entire world. may be they thinks they are clever 😭 if continue like this then it won't be long to shut it down. poor founder (if its not in his knowledge.,worst food entire world may think clever continue like wont long shut poor founder knowledge
水`しずお-Shizuo,5,Positive,2026-04-17 13:57:39,"wow after using Indian quick commerce and food apps like zomato, swiggy, blinkit, zepto.. Grab really feels like highschool project 😭😭😭😭 help..",wow using indian quick commerce food apps like zomato swiggy blinkit zepto really feel like highschool project help
Jerry Magic,2,Negative,2026-04-17 13:46:00,recently unexpected high pricing just normal period also,recently unexpected high pricing normal period
James Tee,5,Positive,2026-04-17 13:43:35,Not sure I was charged for $4 which I did not take ride of this grab . I was standing right in front of the main Wilmar building at 28 Biopolis. The driver waited at the other building which I did not call for. I have informed the driver to come to the right location but he refuse to turn back and left with straight cancellation . Very bad attitudes of this driver .,sure charged take ride standing right front main wilmar building biopolis driver waited building call informed driver come right location refuse turn back left straight cancellation bad attitude driver
Fabi Darren,5,Positive,2026-04-17 13:31:40,mabiles yung mga rider nice,mabiles yung mga rider nice
Kevin K.A,1,Negative,2026-04-17 13:26:38,"Customers are not respected by the support or Grab. Even though i paid for the subscription, the service provided by Grab is lacking. Insanely long time to get a driver, completely useless.",customer respected support even though paid subscription service provided lacking insanely long time driver completely useless
ma. daisy bersabe,5,Positive,2026-04-17 13:24:35,good driver,good driver
SA Painting Design,5,Positive,2026-04-17 13:17:51,ok,
Lea,5,Positive,2026-04-17 13:03:36,"Grab has been a really convenient and reliable app for my daily needs. Booking a ride is quick and easy, and drivers usually arrive on time. The app interface is simple to use, and I like how it shows accurate fare estimates and real-time tracking.",really convenient reliable daily need booking ride quick easy driver usually arrive time interface simple like show accurate fare estimate realtime tracking
Samuel Hone,5,Positive,2026-04-17 12:55:12,A reliable services for public,reliable service public
Hein Zayar Tun (Crow),4,Positive,2026-04-17 11:50:31,Waiting time is so long... Apart from that everything is fine...,waiting time long apart everything fine
Veg Heart,1,Negative,2026-04-17 11:28:59,ads watching app.,ad watching
Ahmad Bazlee Mohd Noor,1,Negative,2026-04-17 11:26:56,"Stupid app don't let me cancel my order after waiting for more than 2 hour. Orang lain pun ada plan, dari duk tunggu makanan tak sampai, bagi la option untuk cancel. Aku pun ada benda lain nak buat. Customer service is non existent. Only stupid app put AI as their customer service. Better swap to other deliver app.",stupid dont let cancel order waiting hour orang lain pun ada plan dari duk tunggu makanan tak sampai bagi option untuk cancel aku pun ada benda lain nak buat customer service non existent stupid put customer service better swap deliver
K Q,5,Positive,2026-04-17 11:17:33,doing well so far! esp dineout deals. can improve to have more shops using this!,well far esp dineout deal improve shop using
Dana Danaboy,5,Positive,2026-04-17 11:14:13,Nice,nice
Cath Gonzales,5,Positive,2026-04-17 11:10:56,Thank you,thank
Rimi Hutagalung,5,Positive,2026-04-17 11:02:45,okay,okay
Si Hijau,1,Negative,2026-04-17 10:54:37,cannot easily reach customer service,easily reach customer service
"ASPA, VERWIN C.",5,Positive,2026-04-17 09:59:17,"I had a great experience using Grab! The delivery was incredibly fast, and my order arrived earlier than expected. The rider was polite, professional, and handled everything with care. It’s very convenient and reliable. I highly recommend this service and will definitely use it again!",great experience using delivery incredibly fast order arrived earlier expected rider polite professional handled everything care convenient reliable highly recommend service definitely
KEITH,1,Negative,2026-04-17 09:52:49,"can't update phone number, support take forever to respond.",cant update phone number support take forever respond
genevieve abaya,5,Positive,2026-04-17 09:50:44,thank you grab company for our safe and smooth ride always. God bless us all.,thank company safe smooth ride always god bless
eiy Dh,1,Negative,2026-04-17 07:12:12,orang Yang bawa grab ni dah Kaya ke hahahah susah sgt nak dapat pemandu sekarang ni,orang yang bawa dah kaya hahahah susah sgt nak dapat pemandu sekarang
Taufiqul Islam,5,Positive,2026-04-17 01:10:01,good 👍,good
Emo Mdd,5,Positive,2026-04-17 00:39:54,Nice,nice
Prema Steven,5,Positive,2026-04-17 00:37:23,Tq grab service recenty problems has been solve immidietly,service recenty problem solve immidietly
Jose Luna,1,Negative,2026-04-17 00:11:49,"It's extremely difficult to file a support ticket due to a lack of feedback. I keep uploading a jpg file that's about 200kb but I just keep getting ""upload failed"" so now I'm unable to file my ticket.",extremely difficult file support ticket due lack feedback keep uploading jpg file thats keep getting upload failed unable file ticket
Lun huai cing,5,Positive,2026-04-17 00:02:51,♥️♥️♥️♥️♥️,
Pyae Phyozaw,5,Positive,2026-04-16 23:46:53,good,good
Jofi Dolama,5,Positive,2026-04-16 23:37:17,nice,nice
Benny Setiawan,4,Positive,2026-04-16 22:49:31,tolong ditambah opsi tol/ non tol daripada debat terus sama drivernya,tolong ditambah opsi tol non tol daripada debat terus sama drivernya
aa nans,5,Positive,2026-04-16 22:38:43,good app for Thailand,good thailand
Meng Custodio,5,Positive,2026-04-16 22:15:36,convenient,convenient
